Company_Name,Industry,Core_Skills,Emerging_Skills
Apollo Hospitals,Healthcare,"Pathology, Clinical Ops, Nursing","Robotic Surgery, Health Informatics"
Fortis Healthcare,Healthcare,"Clinical Ops, Patient Care, Pathology","Robotic Surgery, Telemedicine"
Manipal Hospitals,Healthcare,"Pathology, Nursing, Patient Care","Robotic Surgery, AI Diagnostics"
Dr. Lal PathLabs,Healthcare,"Pathology, Clinical Ops, Patient Care","Telemedicine, Robotic Surgery"
Siemens Healthineers,Healthcare,"Patient Care, Clinical Ops, Pathology","AI Diagnostics, Robotic Surgery"
TCS,IT,"SQL, Java, System Design","Blockchain, Kubernetes"
Infosys,IT,"System Design, Java, SQL","Kubernetes, GenAI"
Wipro,IT,"Java, Python, System Design","Kubernetes, GenAI"
Accenture,IT,"Python, System Design, SQL","Kubernetes, Blockchain"
IBM,IT,"Java, System Design, Python","GenAI, Cloud Native"
Tata Steel,Manufacturing,"Supply Chain, Quality Control, CAD","Smart Factory, IoT"
L&T,Manufacturing,"Quality Control, CAD, Lean Six Sigma","Digital Twin, 3D Printing"
Mahindra,Manufacturing,"Lean Six Sigma, CAD, Quality Control","IoT, 3D Printing"
Bharat Forge,Manufacturing,"Supply Chain, CAD, Lean Six Sigma","Digital Twin, IoT"
Reliance Industries,Manufacturing,"CAD, Quality Control, Supply Chain","Digital Twin, 3D Printing"
Tata Motors,EV,"Thermal Management, Battery Tech, Automotive Design","V2G Tech, Solid State Batteries"
Ola Electric,EV,"Automotive Design, Thermal Management, Battery Tech","V2G Tech, Autonomous Driving"
Ather Energy,EV,"Automotive Design, Power Electronics, Thermal Management","Smart Charging, V2G Tech"
Mahindra Electric,EV,"Power Electronics, Battery Tech, Thermal Management","Solid State Batteries, Autonomous Driving"
Exide,EV,"Automotive Design, Battery Tech, Power Electronics","Autonomous Driving, Solid State Batteries"
HDFC Bank,Finance,"Accounting, Financial Analysis, Auditing","Cybersecurity, Blockchain"
ICICI Bank,Finance,"Financial Analysis, Auditing, Risk Management","FinTech, Blockchain"
SBI,Finance,"Risk Management, Auditing, Financial Analysis","Algorithmic Trading, FinTech"
Axis Bank,Finance,"Auditing, Financial Analysis, Accounting","Cybersecurity, FinTech"
Bajaj Finance,Finance,"Auditing, Financial Analysis, Risk Management","FinTech, Cybersecurity"
