Industry,Year,Avg_Time_To_Fill_Days,Hiring_Rate_Per_Quarter
IT,2022,52,23
IT,2023,44,16
IT,2024,44,7
IT,2025,45,12
IT,2026,41,13
Healthcare,2022,57,17
Healthcare,2023,64,12
Healthcare,2024,58,11
Healthcare,2025,59,13
Healthcare,2026,58,5
Manufacturing,2022,31,11
Manufacturing,2023,33,10
Manufacturing,2024,33,16
Manufacturing,2025,33,10
Manufacturing,2026,20,20
EV,2022,47,13
EV,2023,52,9
EV,2024,43,23
EV,2025,46,12
EV,2026,47,21
Finance,2022,37,9
Finance,2023,49,19
Finance,2024,34,17
Finance,2025,39,12
Finance,2026,36,16
